user_id,movieId,rating
678e4b3ad391c468d106f384,912649,4
678e4b3ad391c468d106f384,939243,5
678e4b3ad391c468d106f384,539972,3
678e4b3ad391c468d106f384,1241982,5
678e4b3ad391c468d106f384,863,4
678e4b3ad391c468d106f384,10193,4
678e4b3ad391c468d106f384,862,5
678e4b3ad391c468d106f384,80321,5
678e4b3ad391c468d106f384,953,4
678e4b3ad391c468d106f384,10527,5
678e4b3ad391c468d106f384,295693,5
678e4b3ad391c468d106f384,138843,2
678e4b3ad391c468d106f384,630586,2
678e4b3ad391c468d106f384,423108,1
678e4b3ad391c468d106f384,158015,1
678e4b3ad391c468d106f384,238636,3
678e4b3ad391c468d106f384,393821,1
678e4b3ad391c468d106f384,133666,1
678e4b3ad391c468d106f384,176,1
678e4b3ad391c468d106f384,250546,1
678e4b3ad391c468d106f384,11249,1
678e4b3ad391c468d106f384,11932,1
678e4b3ad391c468d106f384,274,1
678e4ef2d391c468d106f389,354282,5
678e4ef2d391c468d106f389,822119,4
678e4ef2d391c468d106f389,539972,4
678e4ef2d391c468d106f389,912649,4
678e4ef2d391c468d106f389,240832,5
678e4ef2d391c468d106f389,27205,5
678e4ef2d391c468d106f389,157336,5
678e4ef2d391c468d106f389,286217,4
678e4ef2d391c468d106f389,329865,4
678e4ef2d391c468d106f389,105,5
678e4ef2d391c468d106f389,1010581,2
678e4ef2d391c468d106f389,4348,5
678e4ef2d391c468d106f389,597,1
678e4ef2d391c468d106f389,56919,1
678e4ef2d391c468d106f389,659764,2
678e4ef2d391c468d106f389,76,1
678e4ef2d391c468d106f389,1156593,1
678e4ef2d391c468d106f389,1072790,1
678e4ef2d391c468d106f389,503976,1
678e4ef2d391c468d106f389,313822,1
67b36917c453fb97b5436bdd,27957,5
67b36917c453fb97b5436bdd,246871,5
67b36917c453fb97b5436bdd,427008,4
67b36917c453fb97b5436bdd,568490,5
67b36917c453fb97b5436bdd,77862,5
67b36917c453fb97b5436bdd,187962,5
67b36917c453fb97b5436bdd,517388,5
67b36917c453fb97b5436bdd,10821,5
67b36917c453fb97b5436bdd,346296,5
67b36917c453fb97b5436bdd,472454,5
67b36917c453fb97b5436bdd,80321,3
67b36917c453fb97b5436bdd,270946,1
67b36917c453fb97b5436bdd,10527,2
67b36917c453fb97b5436bdd,862,3
67b36917c453fb97b5436bdd,1084244,1
67b36917c453fb97b5436bdd,459151,2
67b36917c453fb97b5436bdd,445033,1
67b36917c453fb97b5436bdd,1241982,2
67b36df1c453fb97b543779d,257343,5
67b36df1c453fb97b543779d,31060,4
67b36df1c453fb97b543779d,31061,4
67b36df1c453fb97b543779d,438703,3
67b36df1c453fb97b543779d,32926,5
67b36df1c453fb97b543779d,952062,3
67b36df1c453fb97b543779d,625489,4
67b36df1c453fb97b543779d,161803,5
67b36df1c453fb97b543779d,916222,4
67b36df1c453fb97b543779d,80981,5
67b36df1c453fb97b543779d,161808,5
67b36df1c453fb97b543779d,30634,5
67b36df1c453fb97b543779d,577990,4
67b36df1c453fb97b543779d,75640,3
67b36df1c453fb97b543779d,50025,5
67b36df1c453fb97b543779d,1221291,4
67b36df1c453fb97b543779d,400852,4
67b36df1c453fb97b543779d,48763,5
67b36df1c453fb97b543779d,265505,5
67b36df1c453fb97b543779d,376436,4
67b37034c453fb97b5438051,56919,5
67b37034c453fb97b5438051,659764,5
67b37034c453fb97b5438051,597,4
67b37034c453fb97b5438051,4348,5
67b37034c453fb97b5438051,64335,5
67b37034c453fb97b5438051,375784,5
67b37034c453fb97b5438051,96724,5
67b37034c453fb97b5438051,1010581,5
67b37034c453fb97b5438051,1294203,5
67b37034c453fb97b5438051,19913,5
67b37034c453fb97b5438051,8424,4
67b37034c453fb97b5438051,152601,5
67b37034c453fb97b5438051,698508,4
67b37034c453fb97b5438051,313369,5
67b37034c453fb97b5438051,843527,5
67b37034c453fb97b5438051,449546,4
67b37034c453fb97b5438051,1156593,3
67b37034c453fb97b5438051,474720,4
67b37034c453fb97b5438051,570503,5
67b37034c453fb97b5438051,851644,5
